negativereason,airline,tweet_location,retweet_count,text,sentiment,topic
Bad Flight,Virgin America,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",Negative,3
Can't Tell,Virgin America,,0,@VirginAmerica and it's a really big bad thing about it,Negative,8
Can't Tell,Virgin America,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",Negative,8
,Virgin America,San Diego,0,"@virginamerica Well, I didn'tâ€¦but NOW I DO! :-D",Negative,7
,Virgin America,1/1 loner squad,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,Negative,6
Late Flight,Virgin America,"palo alto, ca",0,@VirginAmerica SFO-PDX schedule is still MIA.,Negative,3
,Virgin America,west covina,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,Negative,7
,Virgin America,"Boston, MA ",0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,Negative,8
Customer Service Issue,Virgin America,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,Negative,1
,Virgin America,Brooklyn,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,Negative,7
Flight Booking Problems,Virgin America,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems ðŸ˜¢",Negative,7
Customer Service Issue,Virgin America,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",Negative,4
,Virgin America,Worldwide,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Negative,1
Flight Booking Problems,Virgin America,"new york, new york",0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,Negative,0
,Virgin America,"Stockton, CA",0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,Negative,7
,Virgin America,"Twin Cities, Minn.",0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",Negative,7
,Virgin America,USA,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,Negative,1
Customer Service Issue,Virgin America,next city,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,Negative,9
Lost Luggage,Virgin America,New York + Panama,0,@VirginAmerica everything was fine until you lost my bag,Negative,8
Flight Attendant Complaints,Virgin America,Los Angeles,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,Negative,7
Can't Tell,Virgin America,,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,Negative,9
Can't Tell,Virgin America,,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,Negative,6
,Virgin America,Chicago,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,Negative,4
Late Flight,Virgin America,,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Negative,8
Customer Service Issue,Virgin America,"Los Angeles, CA",0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",Negative,9
Can't Tell,Virgin America,,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,Negative,2
Customer Service Issue,Virgin America,Washington DC,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,Negative,9
